Trx,FPKM_mean_F,Linkage
CAF2748049.1,0.124745666666667,Auto
CAF2748063.1,1.038676,Auto
CAF2748112.1,6.3277055,Auto
CAF2748128.1,0,Auto
CAF2748148.1,0,Auto
CAF2748162.1,0,Auto
CAF2748192.1,0.970263333333333,Auto
CAF2748211.1,0.139443483333333,Auto
CAF2748236.1,0,Auto
CAF2748256.1,0,Auto
CAF2748281.1,0.0635681666666667,Auto
CAF2748339.1,0.2628885,Auto
CAF2748352.1,0,Auto
CAF2748371.1,0.704613666666667,Auto
CAF2748426.1,17.1650645,Auto
CAF2748469.1,19.261528,Auto
CAF2748974.1,0.193967166666667,Auto
CAF2748986.1,8.23632333333333,Auto
CAF2748998.1,28.3088666666667,Auto
CAF2749010.1,66.7532833333333,Auto
CAF2749023.1,32.34265,Auto
CAF2749036.1,0.316489666666667,Auto
CAF2749048.1,154.119716666667,Auto
CAF2749060.1,6.37820833333333,Auto
CAF2749073.1,34.414525,Auto
CAF2749085.1,35.903615,Auto
CAF2749097.1,32.4105341666667,Auto
CAF2749107.1,1.94671516666667,Auto
CAF2749119.1,22.591835,Auto
CAF2749131.1,25.443745,Auto
CAF2749143.1,15.6992066666667,Auto
CAF2749155.1,15.6167166666667,Auto
CAF2749168.1,46.8015566666667,Auto
CAF2749180.1,1.18881466666667,Auto
CAF2749191.1,1.60221478333333,Auto
CAF2749198.1,0,Auto
CAF2749209.1,0.0514236833333333,Auto
CAF2749221.1,6.22858216666667,Auto
CAF2749233.1,66.26555,Auto
CAF2749244.1,0.3654675,Auto
CAF2749256.1,11.197055,Auto
CAF2749268.1,2.4508605,Auto
CAF2749280.1,3.117696,Auto
CAF2749294.1,47.662,Auto
CAF2749310.1,13.2433166666667,Auto
CAF2749316.1,78.8771666666667,Auto
CAF2749331.1,108.8395,Auto
CAF2749347.1,20.1404716666667,Auto
CAF2749360.1,26.8691333333333,Auto
CAF2749373.1,64.5418838333333,Auto
CAF2749391.1,163.93555,Auto
CAF2749398.1,22.8008766666667,Auto
CAF2749409.1,0.131905983333333,Auto
CAF2749422.1,4.69542666666667,Auto
CAF2749432.1,72.5146166666667,Auto
CAF2749448.1,92.1936333333333,Auto
CAF2749466.1,44.82331,Auto
CAF2749474.1,0,Auto
CAF2749487.1,26.7910166666667,Auto
CAF2749500.1,11.7043685,Auto
CAF2749510.1,5.47434216666667,Auto
CAF2749522.1,8.01491633333333,Auto
CAF2749535.1,18.9917883333333,Auto
CAF2749543.1,25.20154,Auto
CAF2749556.1,21.49035,Auto
CAF2749569.1,19.69675,Auto
CAF2749582.1,4.46201258333333,Auto
CAF2749596.1,42.0719616666667,Auto
CAF2749610.1,150.711856666667,Auto
CAF2749623.1,53.4989666666667,Auto
CAF2749637.1,0,Auto
CAF2749650.1,19.76557,Auto
CAF2749665.1,37.1193583333333,Auto
CAF2749680.1,5.20711516666667,Auto
CAF2749688.1,44.5536833333333,Auto
CAF2749707.1,101.870683333333,Auto
CAF2749719.1,0.5870095,Auto
CAF2749723.1,0.567856166666667,Auto
CAF2749736.1,226.4025,Auto
CAF2749750.1,141.732583333333,Auto
CAF2749762.1,17.1427866666667,Auto
CAF2749774.1,10.4500916666667,Auto
CAF2749783.1,35.1594133333333,Auto
CAF2749798.1,0.459034,Auto
CAF2749813.1,46.7651166666667,Auto
CAF2749826.1,23.493535,Auto
CAF2749839.1,22.9112696666667,Auto
CAF2749852.1,779.014436666667,Auto
CAF2749865.1,22.0700833333333,Auto
CAF2749879.1,13.3330505,Auto
CAF2749892.1,29.1483856666667,Auto
CAF2749905.1,6.00613333333333,Auto
CAF2749918.1,6.2322755,Auto
CAF2749930.1,4.64524166666667,Auto
CAF2749945.1,47.4546166666667,Auto
CAF2749957.1,152.461066666667,Auto
CAF2749970.1,34.2277666666667,Auto
CAF2749983.1,28.6493576166667,Auto
CAF2749996.1,0,Auto
CAF2750007.1,12.4874025,Auto
CAF2750020.1,0.64568,Auto
CAF2750033.1,0.519935166666667,Auto
CAF2750046.1,0,Auto
CAF2750059.1,0,Auto
CAF2750072.1,28.5172333333333,Auto
CAF2750085.1,0.0259983666666667,Auto
CAF2750098.1,0,Auto
CAF2750111.1,2.12068333333333,Auto
CAF2750124.1,1.10666866666667,Auto
CAF2750137.1,1.34921083333333,Auto
CAF2750150.1,506.622183333333,Auto
CAF2750163.1,17.0978683333333,Auto
CAF2750176.1,43.57215,Auto
CAF2750189.1,346.529666666667,Auto
CAF2750204.1,52.0972833333333,Auto
CAF2750219.1,14.4148018333333,Auto
CAF2750233.1,17.5373208333333,Auto
CAF2750245.1,29.6498749166667,Auto
CAF2750259.1,0.448397135,Auto
CAF2750275.1,5.63932733333333,Auto
CAF2750288.1,0.180425,Auto
CAF2750301.1,0.0663783066666667,Auto
CAF2750314.1,8.04925166666667,Auto
CAF2750327.1,0,Auto
CAF2750340.1,0,Auto
CAF2750353.1,0.0358627166666667,Auto
CAF2750366.1,444.162706666667,Auto
CAF2750380.1,0,Auto
CAF2750396.1,0,Auto
CAF2750409.1,0.282653333333333,Auto
CAF2750422.1,4.342213,Auto
CAF2750435.1,3.61478683333333,Auto
CAF2750449.1,0,Auto
CAF2750461.1,8.23076666666667,Auto
CAF2750474.1,1.1026005,Auto
CAF2750487.1,10.985325,Auto
CAF2750500.1,36.7888916666667,Auto
CAF2750515.1,0.0441178333333333,Auto
CAF2750523.1,0,Auto
CAF2750537.1,0.745984166666667,Auto
CAF2750550.1,1.98475668333333,Auto
CAF2750563.1,0.7797325,Auto
CAF2750577.1,0.589790166666667,Auto
CAF2750590.1,0.5137195,Auto
CAF2750596.1,19.3312988333333,Auto
CAF2750609.1,1.3731245,Auto
CAF2750623.1,0,Auto
CAF2750638.1,0,Auto
CAF2750653.1,0.0999365,Auto
CAF2750669.1,0.3358605,Auto
CAF2750683.1,50.9466888633333,Auto
CAF2750700.1,1.51965166740011,Auto
CAF2750716.1,0.941667333333333,Auto
CAF2750732.1,37.36569,Auto
CAF2750746.1,0.490381166666667,Auto
CAF2750763.1,0.387181333333333,Auto
CAF2750778.1,14.65689,Auto
CAF2750793.1,44.0696,Auto
CAF2750808.1,1.025986,Auto
CAF2750825.1,0.851686166666667,Auto
CAF2750841.1,6.06426171092217,Auto
CAF2750856.1,4.717379,Auto
CAF2750871.1,0,Auto
CAF2750887.1,0.0767598333333333,Auto
CAF2750902.1,14.8153483333333,Auto
CAF2750918.1,11.5376638333333,Auto
CAF2750934.1,43.5099345166667,Auto
CAF2750948.1,42.3943333333333,Auto
CAF2750963.1,29.8000648333333,Auto
CAF2750968.1,13.2982916666667,Auto
CAF2750984.1,1.67349383333333,Auto
CAF2751000.1,31.457675,Auto
CAF2751015.1,16.6736,Auto
CAF2751029.1,0.222167916333333,Auto
CAF2751044.1,117.147588316667,Auto
CAF2751060.1,7.62895,Auto
CAF2751077.1,9.465775,Auto
CAF2751092.1,18.77899,Auto
CAF2751105.1,0.945050166666667,Auto
CAF2751120.1,2.82012138333333e-06,Auto
CAF2751133.1,4.32166083333333,Auto
CAF2751148.1,37.4075216666667,Auto
CAF2751163.1,23.9698166666667,Auto
CAF2751178.1,36.1461416666667,Auto
CAF2751193.1,100.07565,Auto
CAF2751207.1,0.4048895,Auto
CAF2751222.1,71.2953,Auto
CAF2751237.1,33.8023866666667,Auto
CAF2751254.1,125.075883333333,Auto
CAF2751270.1,7.11209666666667,Auto
CAF2751285.1,8.620075,Auto
CAF2751300.1,2076.05594333333,Auto
CAF2751314.1,14.9949683333333,Auto
CAF2751330.1,85.6071033333333,Auto
CAF2751345.1,0,Auto
CAF2751360.1,45.8714566666667,Auto
CAF2751374.1,33.5534736666667,Auto
CAF2751389.1,20.37959,Auto
CAF2751403.1,21.5448366666667,Auto
CAF2751417.1,19.99893,Auto
CAF2751433.1,61.30672,Auto
CAF2751448.1,249.937133333333,Auto
CAF2751464.1,30.5219833333333,Auto
CAF2751479.1,27.2285,Auto
CAF2751494.1,12.5822296666667,Auto
CAF2751509.1,3.616037,Auto
CAF2751516.1,0.968297,Auto
CAF2751535.1,0.424500666666667,Auto
CAF2751551.1,7.15008966666667,Auto
CAF2751566.1,0.888893333333333,Auto
CAF2751582.1,24.3832333333333,Auto
CAF2751594.1,0.803956666666667,Auto
CAF2751608.1,0.459099333333333,Auto
CAF2751611.1,5.684961,Auto
CAF2751625.1,21.86795,Auto
CAF2751642.1,0,Auto
CAF2751657.1,1.44238683333333,Auto
CAF2751675.1,11.2983083333333,Auto
CAF2751685.1,20.1245,Auto
CAF2751701.1,15.7648116666667,Auto
CAF2751718.1,20.3950266666667,Auto
CAF2751733.1,1.19286633333333,Auto
CAF2751748.1,0.798821065,Auto
CAF2751764.1,1.67957333333333,Auto
CAF2751778.1,2.34255333333333,Auto
CAF2751792.1,17.13371,Auto
CAF2751808.1,7.05718833333333,Auto
CAF2751822.1,6.27738666666667,Auto
CAF2751836.1,27.42909,Auto
CAF2751851.1,0.03924035,Auto
CAF2751865.1,18.5308016666667,Auto
CAF2751878.1,0.458647666666667,Auto
CAF2751892.1,0.206462333333333,Auto
CAF2751906.1,0.0902118333333333,Auto
CAF2751920.1,13.2453023333333,Auto
CAF2751934.1,9.22628333333333,Auto
CAF2751949.1,1.11544633333333,Auto
CAF2751962.1,7.93699816666667,Auto
CAF2751976.1,17.7411086666667,Auto
CAF2751991.1,58.9363116666667,Auto
CAF2752005.1,15.2954666666667,Auto
CAF2752019.1,0,Auto
CAF2752034.1,0.121731666666667,Auto
CAF2752048.1,0,Auto
CAF2752062.1,6.74837866666667,Auto
CAF2752079.1,0,Auto
CAF2752093.1,0.103018666666667,Auto
CAF2752106.1,7.00955333333333,Auto
CAF2752119.1,1.55147666666667,Auto
CAF2752132.1,0.0585941666666667,Auto
CAF2752146.1,0.3036785,Auto
CAF2752150.1,0.0460448333333333,Auto
CAF2752162.1,41.75328,Auto
CAF2752177.1,48.1130283333333,Auto
CAF2752193.1,0.1668163,Auto
CAF2752207.1,0.304634833333333,Auto
CAF2752223.1,2.09377978333333,Auto
CAF2752237.1,1.19359183333333,Auto
CAF2752251.1,7.34312583333333,Auto
CAF2752258.1,17.480685,Auto
CAF2752273.1,12.7860383333333,Auto
CAF2752287.1,15.3871016666667,Auto
CAF2752302.1,15.8019866666667,Auto
CAF2752316.1,16.634665,Auto
CAF2752330.1,64.7348833333333,Auto
CAF2752345.1,55.23105,Auto
CAF2752360.1,8.20786133333333,Auto
CAF2752372.1,14.4125383333333,Auto
CAF2752386.1,15.7863933333333,Auto
CAF2752400.1,3.59020116666667,Auto
CAF2752416.1,38.8933916666667,Auto
CAF2752431.1,74.6241666666667,Auto
CAF2752445.1,20.917565,Auto
CAF2752458.1,13.6759483333333,Auto
CAF2752472.1,14.3656666666667,Auto
CAF2752486.1,119.312301666667,Auto
CAF2752500.1,3.64598487666667e-05,Auto
CAF2752516.1,16.7937667028614,Auto
CAF2752531.1,20.23052,Auto
CAF2752547.1,6.53619833333333,Auto
CAF2752561.1,13.5496166666667,Auto
CAF2752575.1,62.1272116666667,Auto
CAF2752589.1,0.921416666666667,Auto
CAF2752604.1,137.568976666667,Auto
CAF2752609.1,0.092906,Auto
CAF2752623.1,12.059273,Auto
CAF2752637.1,1.36934403333333,Auto
CAF2752651.1,0.3444395,Auto
CAF2752665.1,0,Auto
CAF2752680.1,20.3599316666667,Auto
CAF2752696.1,59.5161816666667,Auto
CAF2752709.1,291.592133333333,Auto
CAF2752723.1,1.6197505,Auto
CAF2752737.1,0.0189156666666667,Auto
CAF2752750.1,0.336528666666667,Auto
CAF2752767.1,0,Auto
CAF2752782.1,0,Auto
CAF2752796.1,0.374981166666667,Auto
CAF2752812.1,6.78404916666667,Auto
CAF2752825.1,0.191191166666667,Auto
CAF2752841.1,2.9928625,Auto
CAF2752860.1,1575.4065,Auto
CAF2752875.1,0.0275936666666667,Auto
CAF2752889.1,194.0707235,Auto
CAF2752906.1,2.80115583333333,Auto
