Trx,FPKM_mean_M,Linkage
CAF2747657.1,130.1234,Auto
CAF2747670.1,144.613766666667,Auto
CAF2747683.1,0.0719976,Auto
CAF2747721.1,0,Auto
CAF2747743.1,0.154264116666667,Auto
CAF2747755.1,0.171308666666667,Auto
CAF2747773.1,0,Auto
CAF2747792.1,0.351115666666667,Auto
CAF2747805.1,1.18494916666667,Auto
CAF2747844.1,0.1611925,Auto
CAF2747865.1,0.314958333333333,Auto
CAF2747887.1,1902.80191666667,Auto
CAF2747900.1,0.0133722,Auto
CAF2747913.1,737.0278,Auto
CAF2747925.1,87.96165,Auto
CAF2747958.1,0.43006,Auto
CAF2747972.1,0,Auto
CAF2747996.1,4.2370985,Auto
CAF2748024.1,0,Auto
CAF2748036.1,0,Auto
CAF2748049.1,0.546193333333333,Auto
CAF2748063.1,0.8336075,Auto
CAF2748112.1,3.02649333333333,Auto
CAF2748128.1,0,Auto
CAF2748148.1,0,Auto
CAF2748162.1,0.161523,Auto
CAF2748192.1,0.940208666666667,Auto
CAF2748211.1,0.3582568,Auto
CAF2748236.1,0,Auto
CAF2748256.1,0,Auto
CAF2748281.1,0,Auto
CAF2748339.1,0.113734666666667,Auto
CAF2748352.1,0,Auto
CAF2748371.1,0.4206855,Auto
CAF2748426.1,10.7055951666667,Auto
CAF2748469.1,3.98833283333333,Auto
CAF2748974.1,0.676262166666667,Auto
CAF2748986.1,9.14214283333333,Auto
CAF2748998.1,53.39995,Auto
CAF2749010.1,99.3347833333333,Auto
CAF2749023.1,59.48785,Auto
CAF2749036.1,5.54513283333333,Auto
CAF2749048.1,333.928333333333,Auto
CAF2749060.1,9.36063,Auto
CAF2749073.1,22.8415833333333,Auto
CAF2749085.1,71.37392,Auto
CAF2749097.1,22.87115,Auto
CAF2749107.1,4.08775133333333,Auto
CAF2749119.1,20.0927566666667,Auto
CAF2749131.1,47.2199166666667,Auto
CAF2749143.1,23.6717833333333,Auto
CAF2749155.1,24.4097283333333,Auto
CAF2749168.1,72.0930833333333,Auto
CAF2749180.1,4.770821,Auto
CAF2749191.1,8.7718983,Auto
CAF2749198.1,0,Auto
CAF2749209.1,0.0487542666666667,Auto
CAF2749221.1,88.3175401666667,Auto
CAF2749233.1,44.44435,Auto
CAF2749244.1,3.7908115,Auto
CAF2749256.1,16.286205,Auto
CAF2749268.1,6.14290333333333,Auto
CAF2749280.1,6.03709333333333,Auto
CAF2749294.1,64.1191666666667,Auto
CAF2749310.1,26.9143666666667,Auto
CAF2749316.1,83.99845,Auto
CAF2749331.1,100.63395,Auto
CAF2749347.1,30.2455,Auto
CAF2749360.1,30.947765,Auto
CAF2749373.1,74.0365966666667,Auto
CAF2749391.1,237.579833333333,Auto
CAF2749398.1,37.0606833333333,Auto
CAF2749409.1,0.195121583333333,Auto
CAF2749422.1,13.0917533333333,Auto
CAF2749432.1,77.0966666666667,Auto
CAF2749448.1,134.6355,Auto
CAF2749466.1,53.9453,Auto
CAF2749474.1,0,Auto
CAF2749487.1,21.7414833333333,Auto
CAF2749500.1,12.4223061666667,Auto
CAF2749510.1,10.7092788333333,Auto
CAF2749522.1,5.497711825,Auto
CAF2749535.1,18.6668166666667,Auto
CAF2749543.1,30.1145933333333,Auto
CAF2749556.1,28.5773166666667,Auto
CAF2749569.1,24.8206666666667,Auto
CAF2749582.1,5.84761033333333,Auto
CAF2749596.1,97.9990316666667,Auto
CAF2749610.1,150.025048333333,Auto
CAF2749623.1,67.8079833333333,Auto
CAF2749637.1,0.4613865,Auto
CAF2749650.1,35.4486166666667,Auto
CAF2749665.1,61.0958,Auto
CAF2749680.1,5.67688666666667,Auto
CAF2749688.1,51.9761833333333,Auto
CAF2749707.1,151.155233333333,Auto
CAF2749719.1,0.633548666666667,Auto
CAF2749723.1,0.619042333333333,Auto
CAF2749736.1,240.656,Auto
CAF2749750.1,229.2576,Auto
CAF2749762.1,41.4543666666667,Auto
CAF2749774.1,12.2316566666667,Auto
CAF2749783.1,69.9576833333333,Auto
CAF2749798.1,0.6507525,Auto
CAF2749813.1,69.8663833333333,Auto
CAF2749826.1,40.0178333333333,Auto
CAF2749839.1,20.34616,Auto
CAF2749852.1,308.939785,Auto
CAF2749865.1,23.13345,Auto
CAF2749879.1,14.916635,Auto
CAF2749892.1,25.9536983333333,Auto
CAF2749905.1,11.4003933333333,Auto
CAF2749918.1,8.11828666666667,Auto
CAF2749930.1,10.3231166666667,Auto
CAF2749945.1,82.1214333333333,Auto
CAF2749957.1,198.378,Auto
CAF2749970.1,42.1163,Auto
CAF2749983.1,1.10734008333333,Auto
CAF2749996.1,0,Auto
CAF2750007.1,9.32694833333333,Auto
CAF2750020.1,0.670841,Auto
CAF2750033.1,0.6100915,Auto
CAF2750046.1,0,Auto
CAF2750059.1,0,Auto
CAF2750072.1,16.048235,Auto
CAF2750085.1,0.0362301833333333,Auto
CAF2750098.1,0.1520275,Auto
CAF2750111.1,16.5490223333333,Auto
CAF2750124.1,17.6877541666667,Auto
CAF2750137.1,17.9876255,Auto
CAF2750150.1,827.571333333333,Auto
CAF2750163.1,26.50485,Auto
CAF2750176.1,11.45243,Auto
CAF2750189.1,134.19965,Auto
CAF2750204.1,102.153226666667,Auto
CAF2750219.1,38.3414033333333,Auto
CAF2750233.1,21.1930466666667,Auto
CAF2750245.1,38.4522535,Auto
CAF2750259.1,18.3803422833333,Auto
CAF2750275.1,0.81334565,Auto
CAF2750288.1,0.0836441666666667,Auto
CAF2750301.1,0.0562146316666667,Auto
CAF2750314.1,6.55255133333333,Auto
CAF2750327.1,0,Auto
CAF2750340.1,0,Auto
CAF2750353.1,0.0580632833333333,Auto
CAF2750366.1,444.741486666667,Auto
CAF2750380.1,0,Auto
CAF2750396.1,0,Auto
CAF2750409.1,0.207127333333333,Auto
CAF2750422.1,31.8900883333333,Auto
CAF2750435.1,22.1457416666667,Auto
CAF2750449.1,0.119527166666667,Auto
CAF2750461.1,6.249995,Auto
CAF2750474.1,0,Auto
CAF2750487.1,11.704515,Auto
CAF2750500.1,35.225305,Auto
CAF2750515.1,0.166683666666667,Auto
CAF2750523.1,0,Auto
CAF2750537.1,1.9444285,Auto
CAF2750550.1,7.41653688333333,Auto
CAF2750563.1,1.5675715,Auto
CAF2750577.1,1.08681131666667,Auto
CAF2750590.1,1.27636403333333,Auto
CAF2750596.1,19.7040666666667,Auto
CAF2750609.1,11.5720466666667,Auto
